riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs9749589-T	2.00E-08	-	NR	1.3157895	-	[1.2-1.45]	NFIC	Alzheimer's disease (APOE e4 interaction)	Alzheimer disease	-	GCST004247	56778:54:00	28183528	Jun GR
rs11168036-T	1.00E-06	-	NR	1.11	-	[1.06-1.15]	PFDN1,HBEGF	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	-	GCST004249	2338802:34:00	28183528	Jun GR
rs11257238-T	5.00E-09	-	NR	1.14	-	[1.10-1.18]	USP6NL-AS1,ECHDC3	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	-	GCST004249	194599:58:00	28183528	Jun GR
rs2632516-G	4.00E-06	-	NR	1.098901	-	[1.05-1.14]	MIR142HG,TSPOAP1-AS1	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	-	GCST004249	972212:28:00	28183528	Jun GR
rs2075650-?	2.00E-07	-	NR	1.5	-	[NR]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST006121	748225:02:00	29107063	Yashin AI
rs7175766-?,rs3733980-?	7.00E-10	(men)	NR	-	-	-	TLN2 x WWC1	Alzheimer's disease (SNP x SNP interaction)	Alzheimer disease	-	GCST008056	15:62756146,5:168441804	30201328	Gusareva ES
rs1477307-?,rs4077746-?	2.00E-06	(men)	NR	-	-	-	WWC1 x TLN2	Alzheimer's disease (SNP x SNP interaction)	Alzheimer disease	-	GCST008056	5:168336693,15:62623147	30201328	Gusareva ES
rs157582-?	2.00E-35	(females)	NR	2.6219604	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748235:02:00	30636644	Nazarian A
rs77104831-?	2.00E-06	(males)	NR	4.27716	-	-	FBXL13	Alzheimer's disease	Alzheimer disease	-	GCST007600	1715197:21:00	30636644	Nazarian A
rs7561207-?	4.00E-06	(females)	NR	2.1267998	-	-	ANTXR1	Alzheimer's disease	Alzheimer disease	-	GCST007600	1152313:06:00	30636644	Nazarian A
rs429358-?	1.00E-53	(females)	NR	3.921738	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748497:04:00	30636644	Nazarian A
rs157580-?	4.00E-09	(males)	NR	1.7230357	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748219:09:00	30636644	Nazarian A
rs769449-?	2.00E-83	-	NR	3.8717523	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748464:45:00	30636644	Nazarian A
rs157580-?	6.00E-14	(females)	NR	1.6891578	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748219:09:00	30636644	Nazarian A
rs769449-?	6.00E-47	(females)	NR	3.7354689	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748464:45:00	30636644	Nazarian A
rs73165159-?	3.00E-06	(males)	NR	3.3545792	-	-	SMIM45,CENPM	Alzheimer's disease	Alzheimer disease	-	GCST007600	699189:18:00	30636644	Nazarian A
rs4420638-?	2.00E-24	(males)	NR	3.3425252	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748680:29:00	30636644	Nazarian A
rs56131196-?	3.00E-24	(males)	NR	3.3117516	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748678:49:00	30636644	Nazarian A
rs71352238-?	2.00E-25	(males)	NR	3.295186	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748203:39:00	30636644	Nazarian A
rs2075650-?	8.00E-26	(males)	NR	3.2904043	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748225:02:00	30636644	Nazarian A
rs56131196-?	6.00E-77	-	NR	3.2625577	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748678:49:00	30636644	Nazarian A
rs4420638-?	9.00E-77	-	NR	3.2591338	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748680:29:00	30636644	Nazarian A
rs2075650-?	2.00E-71	-	NR	3.2239969	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748225:02:00	30636644	Nazarian A
rs405697-?	1.00E-08	(females)	NR	1.5508373	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748376:14:00	30636644	Nazarian A
rs584007-?	2.00E-09	(females)	NR	1.5096664	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748572:41:00	30636644	Nazarian A
rs71352238-?	7.00E-69	-	NR	3.181876	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748203:39:00	30636644	Nazarian A
rs1497197-?	3.00E-06	-	NR	1.4972146	-	-	MRM1,LHX1-DT	Alzheimer's disease	Alzheimer disease	-	GCST007600	613671:34:00	30636644	Nazarian A
rs2075650-?	1.00E-39	(females)	NR	3.1072497	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748225:02:00	30636644	Nazarian A
rs439401-?	6.00E-14	-	NR	1.486781	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748538:54:00	30636644	Nazarian A
rs62402815-?	2.00E-06	-	NR	1.4489708	-	-	LNC-LBCS	Alzheimer's disease	Alzheimer disease	-	GCST007600	322514:04:00	30636644	Nazarian A
rs7963314-?	3.00E-06	(females)	NR	1.4279574	-	-	LINC02414,LINC02370	Alzheimer's disease	Alzheimer disease	-	GCST007600	2192900:04:00	30636644	Nazarian A
rs157582-?	1.00E-23	(males)	NR	2.8279662	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748235:02:00	30636644	Nazarian A
rs10402271-?	2.00E-09	(females)	NR	1.4007349	-	-	NECTIN2,BCAM	Alzheimer's disease	Alzheimer disease	-	GCST007600	747118:17:00	30636644	Nazarian A
rs2233083-?	1.00E-06	-	NR	7.2292986	-	-	MAPK7	Alzheimer's disease	Alzheimer disease	-	GCST007600	323069:30:00	30636644	Nazarian A
rs12450778-?	2.00E-06	(females)	NR	2.4201357	-	-	EPOP,SRCIN1	Alzheimer's disease	Alzheimer disease	-	GCST007600	644320:36:00	30636644	Nazarian A
rs429358-?	2.00E-91	-	NR	3.9972339	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748497:04:00	30636644	Nazarian A
rs12450778-?	2.00E-06	-	NR	2.0929258	-	-	EPOP,SRCIN1	Alzheimer's disease	Alzheimer disease	-	GCST007600	644320:36:00	30636644	Nazarian A
rs769449-?	7.00E-30	(males)	NR	3.921353	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748464:45:00	30636644	Nazarian A
rs157580-?	4.00E-23	-	NR	1.7063565	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748219:09:00	30636644	Nazarian A
rs429358-?	3.00E-31	(males)	NR	3.8628085	-	-	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748497:04:00	30636644	Nazarian A
rs76252969-?	5.00E-06	-	NR	1.68319	-	-	RNA5SP489,RPL13AP7	Alzheimer's disease	Alzheimer disease	-	GCST007600	421311:46:00	30636644	Nazarian A
rs2282079-?	4.00E-06	-	NR	1.6799409	-	-	PAX5,RPL32P21	Alzheimer's disease	Alzheimer disease	-	GCST007600	617279:50:00	30636644	Nazarian A
rs8103315-?	2.00E-06	(males)	NR	1.6666555	-	-	BCL3	Alzheimer's disease	Alzheimer disease	-	GCST007600	745867:31:00	30636644	Nazarian A
rs9862849-?	3.00E-06	(males)	NR	1.6597484	-	-	RPL21P41,KBTBD8	Alzheimer's disease	Alzheimer disease	-	GCST007600	1114258:51:00	30636644	Nazarian A
rs62402815-?	4.00E-07	(females)	NR	1.6387721	-	-	LNC-LBCS	Alzheimer's disease	Alzheimer disease	-	GCST007600	322514:04:00	30636644	Nazarian A
rs111436800-?	5.00E-06	-	NR	1.6282058	-	-	Y_RNA,LINC01689	Alzheimer's disease	Alzheimer disease	-	GCST007600	390960:18:00	30636644	Nazarian A
rs11969759-?	2.00E-06	(females)	NR	1.6222337	-	-	TNXB	Alzheimer's disease	Alzheimer disease	-	GCST007600	534228:33:00	30636644	Nazarian A
rs405697-?	1.00E-13	-	NR	1.5548013	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748376:14:00	30636644	Nazarian A
rs56131196-?	4.00E-48	(females)	NR	3.2052002	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748678:49:00	30636644	Nazarian A
rs4420638-?	8.00E-48	(females)	NR	3.1868043	-	-	APOC1,APOC1P1	Alzheimer's disease	Alzheimer disease	-	GCST007600	748680:29:00	30636644	Nazarian A
rs439401-?	3.00E-09	(females)	NR	1.5058857	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748538:54:00	30636644	Nazarian A
rs584007-?	3.00E-14	-	NR	1.4945852	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748572:41:00	30636644	Nazarian A
rs71352238-?	6.00E-38	(females)	NR	3.0343766	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748203:39:00	30636644	Nazarian A
rs116593898-?	3.00E-06	-	NR	3.0120482	-	-	SFT2D2	Alzheimer's disease	Alzheimer disease	-	GCST007600	2803878:28:00	30636644	Nazarian A
rs10405693-?	1.00E-09	(females)	NR	1.4069744	-	-	BCAM,NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747075:47:00	30636644	Nazarian A
rs157582-?	4.00E-63	-	NR	2.7341528	-	-	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748235:02:00	30636644	Nazarian A
rs34925435-?	5.00E-06	(males)	NR	2.7270248	-	-	TMCC1-DT,TRH	Alzheimer's disease	Alzheimer disease	-	GCST007600	2165790:01:00	30636644	Nazarian A
rs10405693-?	3.00E-14	-	NR	1.3981868	-	-	BCAM,NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747075:47:00	30636644	Nazarian A
rs10402271-?	7.00E-14	-	NR	1.3904976	-	-	NECTIN2,BCAM	Alzheimer's disease	Alzheimer disease	-	GCST007600	747118:17:00	30636644	Nazarian A
rs8103315-?	4.00E-06	-	NR	1.3527919	-	-	BCL3	Alzheimer's disease	Alzheimer disease	-	GCST007600	745867:31:00	30636644	Nazarian A
rs2298369-?	3.00E-07	(females)	NR	1.3267368	-	-	MRPL39,MIR155HG	Alzheimer's disease	Alzheimer disease	-	GCST007600	426420:29:00	30636644	Nazarian A
rs10953322-?	5.00E-06	-	NR	1.3187115	-	-	TRIM56,SERPINE1	Alzheimer's disease	Alzheimer disease	-	GCST007600	1685063:17:00	30636644	Nazarian A
rs6838792-?	2.00E-06	(females)	NR	1.2961394	-	-	STK32B	Alzheimer's disease	Alzheimer disease	-	GCST007600	84951:19:00	30636644	Nazarian A
rs2298369-?	4.00E-07	-	NR	1.2475969	-	-	MRPL39,MIR155HG	Alzheimer's disease	Alzheimer disease	-	GCST007600	426420:29:00	30636644	Nazarian A
rs4961664-?	4.00E-06	-	NR	1.2335871	-	-	LINC03041,CCDC171	Alzheimer's disease	Alzheimer disease	-	GCST007600	269362:55:00	30636644	Nazarian A
rs10794342-?	4.00E-06	-	NR	1.2132727	-	-	AP2A2	Alzheimer's disease	Alzheimer disease	-	GCST007600	15426:04:00	30636644	Nazarian A
rs6859-A	6.00E-13	(females)	0.42469	1.570301	-	[1.39-1.75]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747998:37:00	30636644	Nazarian A
rs7259620-G	6.00E-16	(females)	0.568643	1.665856	-	[1.47-1.86]	APOE,TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748427:51:00	30636644	Nazarian A
rs1160985-C	4.00E-16	(females)	0.564781	1.669499	-	[1.48-1.86]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748354:55:00	30636644	Nazarian A
rs1172922-A	5.00E-06	(females)	0.117523	1.407788	-	[1.22-1.6]	DIRAS2,OR7E109P	Alzheimer's disease	Alzheimer disease	-	GCST007600	1512113:12:00	30636644	Nazarian A
rs405509-T	4.00E-14	(females)	0.49585	1.596079	-	[1.41-1.78]	TOMM40,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748445:19:00	30636644	Nazarian A
rs769450-G	3.00E-13	(females)	0.614728	1.604012	-	[1.41-1.79]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748472:07:00	30636644	Nazarian A
rs8106922-A	6.00E-14	(females)	0.618134	1.62673	-	[1.43-1.82]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748325:49:00	30636644	Nazarian A
rs7412-C	1.00E-07	(females)	0.9279	2.065872	-	[1.58-2.55]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748499:22:00	30636644	Nazarian A
rs1160985-C	3.00E-08	(males)	0.563262	1.629703	-	[1.37-1.89]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748354:55:00	30636644	Nazarian A
rs405509-T	1.00E-08	(males)	0.498083	1.640389	-	[1.38-1.9]	TOMM40,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748445:19:00	30636644	Nazarian A
rs6859-A	1.00E-09	(males)	0.433641	1.677747	-	[1.42-1.94]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747998:37:00	30636644	Nazarian A
rs7259620-G	2.00E-09	(males)	0.567196	1.700015	-	[1.43-1.97]	APOE,TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748427:51:00	30636644	Nazarian A
rs5969117-C	1.00E-06	(males)	0.295488	1.490488	-	[1.27-1.71]	KLHL4,DACH2	Alzheimer's disease	Alzheimer disease	-	GCST007600	X:87181248	30636644	Nazarian A
rs769450-G	2.00E-07	(males)	0.610827	1.600702	-	[1.34-1.86]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748472:07:00	30636644	Nazarian A
rs8106922-A	6.00E-08	(males)	0.611921	1.6359	-	[1.37-1.9]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748325:49:00	30636644	Nazarian A
rs10426423-C	3.00E-06	-	0.620314	1.265674	-	[1.15-1.38]	BCAM,NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747435:36:00	30636644	Nazarian A
rs1871047-A	2.00E-06	-	0.619781	1.270037	-	[1.15-1.39]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747493:49:00	30636644	Nazarian A
rs440277-G	2.00E-07	-	0.691681	1.321105	-	[1.19-1.45]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747651:47:00	30636644	Nazarian A
rs769450-G	6.00E-19	-	0.61311	1.59501	-	[1.44-1.75]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748472:07:00	30636644	Nazarian A
rs6859-A	2.00E-21	-	0.428373	1.599071	-	[1.45-1.75]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	747998:37:00	30636644	Nazarian A
rs405509-T	2.00E-21	-	0.496776	1.613847	-	[1.46-1.77]	TOMM40,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748445:19:00	30636644	Nazarian A
rs8106922-A	2.00E-20	-	0.615581	1.624312	-	[1.47-1.78]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748325:49:00	30636644	Nazarian A
rs1160985-C	1.00E-22	-	0.564132	1.653124	-	[1.49-1.81]	TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748354:55:00	30636644	Nazarian A
rs7259620-G	2.00E-23	-	0.568042	1.6754	-	[1.51-1.84]	APOE,TOMM40	Alzheimer's disease	Alzheimer disease	-	GCST007600	748427:51:00	30636644	Nazarian A
rs7412-C	4.00E-13	-	0.928632	2.214072	-	[1.79-2.64]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748499:22:00	30636644	Nazarian A
rs35242772-C	1.00E-06	-	0.356238	1.230973	-	[1.13-1.33]	MIR302F,RNU6-408P	Alzheimer's disease	Alzheimer disease	-	GCST007600	503591:02:00	30636644	Nazarian A
rs912322-A	1.00E-06	-	0.73251	1.259729	-	[1.15-1.37]	MYO16	Alzheimer's disease	Alzheimer disease	-	GCST007600	1819278:38:00	30636644	Nazarian A
rs283814-G	9.00E-06	-	0.933446	1.588872	-	[1.3-1.88]	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	748118:27:00	30636644	Nazarian A
rs77657034-G	5.00E-06	-	0.9924	6.912992	-	[3.02-10.81]	MAP4K4	Alzheimer's disease	Alzheimer disease	-	GCST007600	1697623:04:00	30636644	Nazarian A
rs483082-?	1.00E-37	(females)	0.734105	2.6149259	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748567:41:00	30636644	Nazarian A
rs283815-?	9.00E-23	(males)	0.753336	2.794014	-	-	NECTIN2	Alzheimer's disease	Alzheimer disease	-	GCST007600	748136:56:00	30636644	Nazarian A
rs483082-?	1.00E-62	-	0.738441	2.6436493	-	-	APOC1,APOE	Alzheimer's disease	Alzheimer disease	-	GCST007600	748567:41:00	30636644	Nazarian A
rs12444183-A	7.00E-12	-	0.378	0.95	-	[0.93-0.96]	CMIP,PLCG2	Alzheimer's disease	Alzheimer disease	-	GCST012182	1362342:44:00	34099642	de Rojas I
rs17645935-A	9.00E-08	-	0.801	1.06	-	[1.03-1.08]	SPPL2A,RN7SL354P	Alzheimer's disease	Alzheimer disease	-	GCST012182	845011:52:00	34099642	de Rojas I
rs2154481-C	1.00E-11	-	0.462	0.95	-	[0.94-0.96]	APP	Alzheimer's disease	Alzheimer disease	-	GCST012182	435046:58:00	34099642	de Rojas I
rs3109899-A	3.00E-06	-	0.226	0.96	-	[0.94-0.97]	USP50	Alzheimer's disease	Alzheimer disease	-	GCST012182	842223:46:00	34099642	de Rojas I
rs35139934-A	3.00E-08	-	0.0858	1.1	-	[1.06-1.13]	PLEC	Alzheimer's disease	Alzheimer disease	-	GCST012182	2398704:36:00	34099642	de Rojas I
rs4351014-C	9.00E-12	-	0.719	0.94	-	[0.92-0.95]	LINC02498,MIR572	Alzheimer's disease	Alzheimer disease	-	GCST012182	183770:35:00	34099642	de Rojas I
rs4985556-A	4.00E-10	-	0.117	1.08	-	[1.06-1.11]	IL34	Alzheimer's disease	Alzheimer disease	-	GCST012182	1177684:17:00	34099642	de Rojas I
rs1892676-C	7.00E-08	-	0.341	1.04	-	[1.03-1.06]	APP-DT,CYYR1-AS1	Alzheimer's disease	Alzheimer disease	-	GCST012182	437041:21:00	34099642	de Rojas I
rs4663105-C	7.00E-10	-	0.419	1.4	-	[1.26-1.56]	BIN1,NIFKP9	Alzheimer's disease pathology	Alzheimer disease	-	GCST90276158	2118899:31:00	37700353	Talyansky S
rs429358-C	1.00E-69	-	0.271	4.22	-	[3.6-4.96]	APOE	Alzheimer's disease pathology	Alzheimer disease	-	GCST90276158	748497:04:00	37700353	Talyansky S
rs429358-C	3.00E-07	-	0.2968	2.256	-	[1.6552-3.0749]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST90013665	748497:04:00	33223526	Hong S
rs2194962-?	7.00E-07	-	NR	-	-	-	MS4A4A	Late-onset Alzheimer's disease in high risk polygenic risk score	Alzheimer disease	polygenic risk score	GCST90162599	1004971:32:00	35879306	Hou J
rs7142-?	2.00E-06	-	NR	-	-	-	HLA-DQA1	Late-onset Alzheimer's disease in high risk polygenic risk score	Alzheimer disease	polygenic risk score	GCST90162599	544056:48:00	35879306	Hou J
rs11680911-C	2.00E-08	-	0.35	1.21	-	[1.13-1.29]	NIFKP9,BIN1	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	APOE carrier status	GCST90134415	2118855:01:00	35770850	Chung J
rs12775171-G	5.00E-08	-	0.06	1.44	-	[1.26-1.64]	MGMT	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	APOE carrier status	GCST90134415	2160089:37:00	35770850	Chung J
rs111278892-G	7.00E-08	-	0.15	1.3	-	[1.18-1.44]	ABCA7,CNN2	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	APOE carrier status	GCST90134415	17341:04:00	35770850	Chung J
rs390082-G	7.00E-15	-	0.08	0.58	-	[0.51-0.67]	APOE,APOC1	Alzheimer's disease in APOE e4- carriers	Alzheimer disease	APOE carrier status	GCST90134415	748578:34:00	35770850	Chung J
rs1338764-C	3.00E-09	-	NR	2.72	-	[2.09-3.55]	RPLP0P5,RPL7AP81	Alzheimer's disease	Alzheimer disease	-	GCST90134416	3673776:53:00	35770850	Chung J
rs116668122-T	2.00E-09	-	NR	1.87	-	[1.59-2.21]	SYNPR,SYNPR-AS1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	1058514:32:00	35770850	Chung J
rs34673573-T	1.00E-07	-	NR	2.01	-	[1.63-2.49]	BFSP2	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2223668:22:00	35770850	Chung J
rs34710518-A	1.00E-10	-	NR	2.43	-	[1.98-2.98]	LEF1-AS1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	1803656:39:00	35770850	Chung J
rs6555748-G	4.00E-08	-	NR	2.4	-	[1.85-3.12]	TENM2	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2791208:20:00	35770850	Chung J
rs36076521-A	4.00E-08	-	NR	2.4	-	[1.85-3.12]	SDK1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	58510:31:00	35770850	Chung J
rs972600-G	3.00E-09	-	NR	2.72	-	[2.09-3.55]	MIOS-DT	Alzheimer's disease	Alzheimer disease	-	GCST90134416	126090:45:00	35770850	Chung J
rs6978419-A	3.00E-09	-	NR	2.72	-	[2.09-3.55]	GDI2P1,LINC02838	Alzheimer's disease	Alzheimer disease	-	GCST90134416	812352:01:00	35770850	Chung J
rs372758-A	3.00E-09	-	NR	2.72	-	[2.09-3.55]	DENND3	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2352793:52:00	35770850	Chung J
rs12256016-G	2.00E-14	-	0.097	2.02	-	[1.8-2.26]	MGMT	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2161305:43:00	35770850	Chung J
rs72838408-A	3.00E-09	-	NR	2.72	-	[2.09-3.55]	MIR378C,Y_RNA	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2177866:30:00	35770850	Chung J
rs12785292-A	1.00E-09	-	NR	2.44	-	[1.95-3.05]	CST6,CATSPER1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	1100244:08:00	35770850	Chung J
rs76970324-C	4.00E-08	-	NR	2.4	-	[1.85-3.12]	MTMR2,RPL32P25	Alzheimer's disease	Alzheimer disease	-	GCST90134416	1598969:12:00	35770850	Chung J
rs7301563-T	4.00E-08	-	NR	2.4	-	[1.85-3.12]	NTF3	Alzheimer's disease	Alzheimer disease	-	GCST90134416	90961:26:00	35770850	Chung J
rs896559-C	8.00E-10	-	NR	2.44	-	[1.96-3.05]	PRICKLE1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	708100:44:00	35770850	Chung J
rs11246969-A	8.00E-10	-	NR	2.44	-	[1.96-3.05]	LINC02361,NOC4L	Alzheimer's disease	Alzheimer disease	-	GCST90134416	2203014:06:00	35770850	Chung J
rs61950331-C	4.00E-08	-	NR	2.4	-	[1.85-3.12]	IPPKP1,SNORD27	Alzheimer's disease	Alzheimer disease	-	GCST90134416	352327:05:00	35770850	Chung J
rs7155666-A	8.00E-10	-	NR	2.44	-	[1.96-3.05]	DIO2,DIO2-AS1	Alzheimer's disease	Alzheimer disease	-	GCST90134416	1337247:28:00	35770850	Chung J
rs150987621-T	5.00E-08	-	NR	1.8	-	[1.51-2.15]	SEZ6L2,CDIPTOSP	Alzheimer's disease	Alzheimer disease	-	GCST90134416	497824:47:00	35770850	Chung J
rs2457270-C	5.00E-08	-	NR	2.39	-	[1.84-3.12]	NXN	Alzheimer's disease	Alzheimer disease	-	GCST90134416	14818:38:00	35770850	Chung J
rs2358973-T	5.00E-08	-	NR	2.39	-	[1.84-3.12]	MYO1C	Alzheimer's disease	Alzheimer disease	-	GCST90134416	24803:45:00	35770850	Chung J
rs2345589-A	4.00E-08	-	NR	2.4	-	[1.85-3.12]	LINC00470,AIDAP3	Alzheimer's disease	Alzheimer disease	-	GCST90134416	28040:33:00	35770850	Chung J
rs429358-C	9.00E-14	-	0.1099	2.217	-	[1.798-2.733]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST90244026	748497:04:00	35694926	Harper JD
rs148377161-T	2.00E-08	-	0.0163	3.312	-	[2.185-5.019]	FAR2,CCDC91	Alzheimer's disease	Alzheimer disease	-	GCST90244026	477964:44:00	35694926	Harper JD
rs148377161-?	1.00E-06	-	NR	4.537	-	[2.469-8.336]	FAR2,CCDC91	Alzheimer's disease	Alzheimer disease	-	GCST90244027	477964:44:00	35694926	Harper JD
rs429358-?	2.00E-10	-	NR	2.722	-	[2.002-3.703]	APOE	Alzheimer's disease	Alzheimer disease	-	GCST90244027	748497:04:00	35694926	Harper JD
rs140076909-?	4.00E-08	-	NR	4.506	-	[2.636-7.702]	SNX7,LINC01776	Alzheimer's disease	Alzheimer disease	-	GCST90244028	1639046:00:00	35694926	Harper JD
rs117803234-?	7.00E-08	-	NR	3.765	-	[2.325-6.096]	C1GALT1,Y_RNA	Alzheimer's disease	Alzheimer disease	-	GCST90244028	118603:13:00	35694926	Harper JD
rs112437613-T	5.00E-09	-	0.07	2.28	-	[2.01-2.55]	DAB1	Alzheimer's disease in APOE E4 homozygosity	Alzheimer disease	APOE carrier status	GCST90134645	953035:02:00	35977442	Bracher-Smith M
rs1081105-?	2.00E-180	-	NR	-	-	-	APOC1,APOE	Alzheimer disease (MTAG)	Alzheimer disease	-	GCST90256603	748513:58:00	36672180	Tirozzi A
rs2232429-?	6.00E-19	-	NR	-	-	-	ZSCAN12	Alzheimer disease (MTAG)	Alzheimer disease	-	GCST90256603	473203:35:00	36672180	Tirozzi A
rs429358-C	6.00E-14	-	0.17	1.69	-	[1.93-1.47]	APOE	Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD+)	Alzheimer disease	-	GCST009025	748497:04:00	31473137	Moreno-Grau S
rs117834366-A	2.00E-08	-	0.011	6.03	-	[3.22-11.2]	CNTNAP2	Alzheimer’s disease and/or vascular dementia (clinical subgroup VaD++)	Alzheimer disease	-	GCST009026	2465636:59:00	31473137	Moreno-Grau S
rs271066-?	3.00E-06	-	NR	-	0.6491 unit decrease	-	MTARC2P1,GRM7-AS3	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	105603:08:00	22005931	Kamboh MI
rs704454-?	3.00E-06	-	NR	-	0.5038 unit increase	-	ADAMTS9-AS2	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1082358:50:00	22005931	Kamboh MI
rs1466662-?	5.00E-07	-	NR	-	0.9595 unit decrease	-	DCHS2	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	2573774:41:00	22005931	Kamboh MI
rs2034764-?	4.00E-06	-	NR	-	0.879 unit increase	-	PUM3	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	45721:51:00	22005931	Kamboh MI
rs17429217-?	3.00E-06	-	NR	-	2.436 unit increase	-	HRK	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1947637:28:00	22005931	Kamboh MI
rs3743162-?	9.00E-06	-	NR	-	0.8828 unit decrease	-	SLC28A1	Alzheimer's disease (age of onset)	Alzheimer disease,age at onset	-	GCST001280	1414810:38:00	22005931	Kamboh MI
